,id,budget,popularity,vote_average,revenue,title
3866,598,3300000,44.356711,8.1,30641770,City of God
3573,77,9000000,60.715151,8.1,39723096,Memento
2284,694,19000000,78.699993,8.1,44017374,The Shining
3906,284,3000000,22.889294,8.1,25000000,The Apartment
4302,429,1200000,88.377076,8.1,6000000,"The Good, the Bad and the Ugly"
3454,629,6000000,64.02503100000001,8.1,23341568,The Usual Suspects
2091,274,19000000,18.174804,8.1,272742922,The Silence of the Lambs
1553,807,33000000,79.579532,8.1,327311859,Se7en
2760,264644,6000000,66.11334000000001,8.1,35401758,Room
2912,11,11000000,126.393695,8.1,775398007,Star Wars
3788,242575,4000000,1.771584,8.1,0,"Guten Tag, Ramón"
3503,44260,0,0.47574799999999995,8.0,25,Lake of Fire
4606,21525,300000,1.314576,8.0,7808524,Tupac: Resurrection
4173,935,1800000,41.996783,8.0,9440272,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb
4300,500,1200000,66.925866,8.0,14661007,Reservoir Dogs
4337,103,1300000,58.845025,8.0,28262574,Taxi Driver
1525,28,31500000,49.973462,8.0,89460381,Apocalypse Now
2522,205596,14000000,145.364591,8.0,233555708,The Imitation Game
2638,19,92620000,32.351527000000004,8.0,650422,Metropolis
494,8587,45000000,90.457886,8.0,788241776,The Lion King
3984,239,2883848,39.30982,8.0,25000000,Some Like It Hot
1850,111,25000000,70.105981,8.0,65884703,Scarface
4468,40862,0,1.517771,8.0,0,Iraq for Sale: The War Profiteers
262,120,93000000,138.049577,8.0,871368364,The Lord of the Rings: The Fellowship of the Ring
4679,287815,0,0.062089,8.0,0,Call + Response
1532,120467,30000000,74.417456,8.0,174600318,The Grand Budapest Hotel
1405,423,35000000,50.587540999999995,8.0,120072577,The Pianist
4678,40920,200000,0.06104,8.0,0,The Business of Fancydancing
3886,1585,3180000,42.868495,8.0,9644124,It's a Wonderful Life
77,150540,175000000,128.65596399999998,8.0,857611174,Inside Out
3776,89708,4000000,12.781972999999999,8.0,0,Samsara
4076,595,2000000,22.139842,8.0,13129846,To Kill a Mockingbird
3875,108346,2000000,0.11615,8.0,7,Dreaming of Joseph Lees
463,161795,0,0.605645,8.0,0,Déjà Vu
3036,164558,10000000,7.944457000000001,8.0,0,One Direction: This Is Us
4571,328307,0,0.052941999999999996,8.0,0,Rise of the Entrepreneur: The Search for a Better Way
330,121,79000000,106.914973,8.0,926287400,The Lord of the Rings: The Two Towers
3208,333355,0,1.881466,8.0,0,Star Wars: Clone Wars: Volume 1
1196,1124,40000000,74.440708,8.0,109676311,The Prestige
3471,57612,6000000,0.041651,8.0,7518876,Dolphins and Whales: Tribes of the Ocean
4432,654,910000,16.015598999999998,8.0,9600000,On the Waterfront
3940,670,3000000,56.763490000000004,8.0,14980005,Oldboy
3432,14631,6500000,2.639106,8.0,2025032,The Work and the Glory II: American Zion
4403,99826,0,0.098351,8.0,0,The Jimmy Show
2285,105,19000000,76.60323299999999,8.0,381109762,Back to the Future
4405,357441,0,0.060002999999999994,8.0,0,Karachi se Lahore
2966,62,10500000,86.201184,7.9,68700000,2001: A Space Odyssey
3570,1955,5000000,30.271065999999998,7.9,26010864,The Elephant Man
298,106646,100000000,95.00793399999999,7.9,392000694,The Wolf of Wall Street
571,16869,70000000,72.595961,7.9,319131050,Inglourious Basterds
1051,146233,46000000,88.496873,7.9,122126687,Prisoners
3701,641,4500000,11.573034,7.9,7390108,Requiem for a Dream
274,98,103000000,95.301296,7.9,457640427,Gladiator
1997,152601,23000000,53.682367000000006,7.9,47351251,Her
1725,78,28000000,94.05613100000001,7.9,33139618,Blade Runner
4329,289,878000,43.729123,7.9,10462500,Casablanca
1490,1892,32350000,46.509071,7.9,572700000,Return of the Jedi
4766,13963,0,3.2772870000000003,7.9,321952,The Last Waltz
3414,46738,6800000,21.285206,7.9,7103838,Incendies
3854,142061,3500000,25.891466,7.9,0,"Batman: The Dark Knight Returns, Part 2"
3571,152532,5000000,59.454473,7.9,55198285,Dallas Buyers Club
3206,71157,0,14.038703,7.9,20374201,Polisse
693,210577,61000000,143.041543,7.9,369330363,Gone Girl
2860,387,14000000,26.967494,7.9,85000000,Das Boot
3158,348,11000000,94.184658,7.9,104931801,Alien
3870,103663,3800000,21.826888,7.9,16800000,The Hunt
3526,9277,5500000,28.500913,7.9,159616327,The Sting
2152,38,20000000,56.481487,7.9,72258126,Eternal Sunshine of the Spotless Mind
2975,489,10000000,43.734885999999996,7.9,225933435,Good Will Hunting
1855,7345,25000000,37.817904999999996,7.9,77208711,There Will Be Blood
4081,582,2000000,34.938177,7.9,70000000,The Lives of Others
628,857,70000000,76.04186700000001,7.9,481840909,Saving Private Ryan
2105,76203,20000000,95.9229,7.9,187000000,12 Years a Slave
94,118340,170000000,481.09862400000003,7.9,773328629,Guardians of the Galaxy
351,1422,90000000,63.429157,7.9,289847354,The Departed
4216,3083,1500000,12.2624,7.9,9600000,Mr. Smith Goes to Washington
2516,14,15000000,80.87860500000001,7.9,356296601,American Beauty
634,603,63000000,104.309993,7.9,463517383,The Matrix
3887,627,4000000,63.513324,7.8,16491080,Trainspotting
697,37165,60000000,56.488027,7.8,264118201,The Truman Show
2862,122906,0,74.81764100000001,7.8,87100449,About Time
2123,314365,20000000,41.503588,7.8,88346473,Spotlight
892,524,52000000,40.06688,7.8,116112375,Casino
2536,11778,15000000,19.786392000000003,7.8,50000000,The Deer Hunter
4521,14271,2053648,2.778633,7.8,500000,Beyond the Mat
4591,10238,0,11.347855000000001,7.8,0,Cries and Whispers
1819,50014,25000000,42.191509,7.8,124272124,The Help
1260,194,10000000,73.720244,7.8,173921954,Amélie
1813,13223,33000000,50.7453,7.8,269958228,Gran Torino
3839,25376,2000000,25.894064999999998,7.8,33965843,The Secret in Their Eyes
4164,159037,0,4.892203,7.8,0,The Square
3739,703,4000000,35.892034,7.8,38251425,Annie Hall
439,11324,80000000,81.91469599999999,7.8,294804195,Shutter Island
4459,78705,0,0.038706,7.8,0,Live-In Maid
88,177572,165000000,203.73459,7.8,652105443,Big Hero 6
4006,872,2540800,36.556954,7.8,7200000,Singin' in the Rain
4456,25461,800000,3.6436620000000004,7.8,2816116,Raising Victor Vargas
2547,266856,15000000,61.182331000000005,7.8,123726688,The Theory of Everything
2328,279,18000000,31.82675,7.8,51973029,Amadeus
3417,7347,4000000,23.604936,7.8,0,Elite Squad
2607,115,15000000,49.230089,7.8,46189568,The Big Lebowski
1318,1091,15000000,52.731379000000004,7.8,19629760,The Thing
57,10681,180000000,66.390712,7.8,521311860,WALL·E
4695,21334,180000,7.072118,7.8,900000,Children of Heaven
3239,235,8000000,51.109279,7.8,52287414,Stand by Me
4686,48035,0,3.225189,7.8,0,Ordet
4303,310569,0,9.683622,7.8,0,The Second Mother
2178,5915,15000000,43.644978,7.8,56255142,Into the Wild
4579,762,400000,64.782984,7.8,5028948,Monty Python and the Holy Grail
287,68718,100000000,82.121691,7.8,425368238,Django Unchained
2550,947,15000000,41.286336,7.8,69995385,Lawrence of Arabia
4104,8885,2000000,14.082510000000001,7.8,11125849,Waltz with Bashir
3750,5925,4000000,35.061467,7.8,11744471,The Great Escape
3296,149,8000000,39.338097,7.8,553171,Akira
2724,613,18339750,32.445895,7.7,92180910,Downfall
1559,11036,29000000,55.109138,7.7,115603229,The Notebook
1920,59440,25000000,51.915025,7.7,23057115,Warrior
2520,873,15000000,17.571533,7.7,146292009,The Color Purple
828,24,30000000,79.75496600000001,7.7,180949000,Kill Bill: Vol. 1
4374,47686,0,0.9483159999999999,7.7,0,Dream with the Fishes
3716,12093,0,7.759214999999999,7.7,0,Lilya 4-ever
2936,3175,11000000,29.543331,7.7,20000000,Barry Lyndon
191,673,130000000,79.679601,7.7,789804554,Harry Potter and the Prisoner of Azkaban
1028,593,0,24.132271,7.7,0,Solaris
883,640,52000000,73.94404899999999,7.7,352114312,Catch Me If You Can
1829,6977,25000000,53.645267000000004,7.7,171600000,No Country for Old Men
932,752,54000000,84.630969,7.7,132511035,V for Vendetta
3987,3034,2800000,36.444894,7.7,86273333,Young Frankenstein
1145,745,40000000,73.085576,7.7,672806292,The Sixth Sense
556,197,72000000,60.722162,7.7,210000000,Braveheart
2085,85,18000000,68.159596,7.7,389925971,Raiders of the Lost Ark
66,14160,175000000,92.201962,7.7,735099082,Up
2905,107,10000000,53.595686,7.7,83557872,Snatch
1332,96721,38000000,33.003828000000006,7.7,90247624,Rush
4270,309,1300000,10.240917,7.7,0,The Celebration
1557,70,30000000,70.456012,7.7,216763646,Million Dollar Baby
4281,223,1288000,18.426825,7.7,6000000,Rebecca
4452,60243,800000,12.049373,7.7,0,A Separation
4604,3078,325000,11.871424000000001,7.7,4500000,It Happened One Night
4017,76,2500000,23.672570999999998,7.7,5535405,Before Sunrise
3903,826,3000000,23.109959,7.7,33300000,The Bridge on the River Kwai
3706,141,6000000,61.210016,7.7,1270522,Donnie Darko
3708,17139,4500000,0.011696999999999999,7.7,0,Character
279,280,100000000,101.74155,7.7,520000000,Terminator 2: Judgment Day
1541,862,30000000,73.640445,7.7,373554033,Toy Story
4480,14275,700000,9.188431,7.7,7830611,Hoop Dreams
1456,9702,35000000,9.122828,7.7,0,Bound by Honor
493,453,60000000,59.248437,7.7,313542341,A Beautiful Mind
4685,126141,0,0.092562,7.7,0,The Case of the Grinning Cat
3812,10774,3800000,17.234745,7.7,23689877,Network
4663,173224,250,0.166655,7.7,0,Along the Roadside
2664,33,14000000,37.380435,7.7,159157447,Unforgiven
2776,84892,13000000,43.444134999999996,7.7,33400000,The Perks of Being a Wallflower
3393,24985,7000000,1.498245,7.7,0,The Heart of Me
4688,13363,0,31.339015000000003,7.7,0,The Man from Earth
2403,679,18500000,67.66094,7.7,183316455,Aliens
2501,28178,16000000,43.217089,7.7,47801389,Hachi: A Dog's Tale
1696,277216,28000000,61.762330000000006,7.7,201634991,Straight Outta Compton
3223,26022,12000000,14.719885999999999,7.7,42345360,My Name Is Khan
4096,44639,2000000,16.930914,7.7,7871522,Inside Job
1374,2118,35000000,24.860326,7.7,126216940,L.A. Confidential
3328,2011,7300000,24.281951,7.7,0,Persepolis
3813,770,4000000,48.98255,7.7,400176459,Gone with the Wind
1945,152742,13500000,30.058263,7.7,19255873,The Best Offer
2798,14574,12500000,34.821222999999996,7.7,20416563,The Boy in the Striped Pyjamas
824,1402,55000000,80.581367,7.7,307077295,The Pursuit of Happyness
1724,4348,28000000,36.58383,7.7,121147947,Pride & Prejudice
4471,74510,0,5.4988339999999996,7.7,0,Kevin Hart: Laugh at My Pain
3061,404,10000000,15.280261,7.7,0,The Straight Story
2344,1578,18000000,35.524457,7.7,23000000,Raging Bull
3989,21461,0,2.436019,7.6,0,Lage Raho Munna Bhai
3914,821,3000000,13.338539,7.6,10000000,Judgment at Nuremberg
977,10386,70000000,61.245957,7.6,23159305,The Iron Giant
2666,12405,15000000,59.25896899999999,7.6,377910544,Slumdog Millionaire
352,10674,90000000,67.427755,7.6,304320254,Mulan
2898,21345,12000000,4.793348,7.6,10652498,City of Life and Death
501,309809,64000000,35.384423,7.6,97571250,The Little Prince
4416,258755,0,1.233688,7.6,0,Hidden Away
3931,16642,0,13.857194,7.6,0,Days of Heaven
328,12,94000000,85.688789,7.6,940335536,Finding Nemo
4457,905,0,1.824184,7.6,0,Pandora's Box
4208,15976,0,1.4943600000000001,7.6,0,The Bubble
2109,296096,20000000,53.161905000000004,7.6,207945075,Me Before You
3974,666,2900000,5.928937,7.6,5596708,Central Station
4474,8416,750000,8.429295,7.6,0,The Conformist
4479,288,730000,18.644023,7.6,8000000,High Noon
270,286217,108000000,167.93287,7.6,630161890,The Martian
2627,1018,15000000,31.60985,7.6,20117339,Mulholland Drive
2838,222935,12000000,74.358971,7.6,307166834,The Fault in Our Stars
2517,45269,15000000,54.053576,7.6,414211549,The King's Speech
3624,17431,5000000,46.114184,7.6,9760104,Moon
1556,322,25000000,31.242998999999998,7.6,156822020,Mystic River
3841,765,3600000,35.674774,7.6,5923044,Evil Dead II
1812,380,25000000,49.510658,7.6,412800000,Rain Man
675,329,63000000,40.413191,7.6,920100000,Jurassic Park
2461,83666,16000000,41.083914,7.6,68263166,Moonrise Kingdom
818,109424,55000000,52.786917,7.6,95000000,Captain Phillips
3538,925,6500000,15.580335,7.6,37295445,Do the Right Thing
3898,261,3000000,16.553594,7.6,17570324,Cat on a Hot Tin Roof
583,587,70000000,46.199482,7.6,122919055,Big Fish
4672,391,200000,38.771062,7.6,14500000,A Fistful of Dollars
2465,1417,19000000,90.80940799999999,7.6,83258226,Pan's Labyrinth
3510,183894,0,2.1356889999999997,7.6,0,Emma
4002,291,2600000,0.8959459999999999,7.6,3166000,Riding Giants
1974,3558,40000000,10.713521,7.6,0,"Girl, Interrupted"
2799,16,12800000,22.022228,7.6,40031879,Dancer in the Dark
85,100402,170000000,72.22526500000001,7.6,714766572,Captain America: The Winter Soldier
684,273248,44000000,68.717016,7.6,155760117,The Hateful Eight
4108,14284,2000000,3.4315900000000004,7.6,0,In the Shadow of the Moon
3490,576,6244087,14.970654000000001,7.6,638641,The Wild Bunch
74,137113,178000000,79.456485,7.6,370541256,Edge of Tomorrow
4062,887,2100000,8.38717,7.6,23650000,The Best Years of Our Lives
2811,126319,12516654,11.103202,7.6,8109160,Ernest & Celestine
2556,2493,16000000,44.533612,7.6,30857814,The Princess Bride
42,10193,200000000,59.99541800000001,7.6,1066969703,Toy Story 3
2278,581,22000000,45.707834999999996,7.6,424208848,Dances with Wolves
4093,11194,0,14.045886999999999,7.6,13885802,Touching the Void
22,57158,250000000,94.370564,7.6,958400000,The Hobbit: The Desolation of Smaug
4089,55,2000000,23.281616,7.6,20908467,Amores perros
4088,80,2700000,14.799323000000001,7.6,15992615,Before Sunset
3,49026,250000000,112.31295,7.6,1084939099,The Dark Knight Rises
4083,990,2000000,17.639478,7.6,7600000,The Hustler
160,82702,145000000,100.21391,7.6,609123048,How to Train Your Dragon 2
3234,242582,8500000,89.095538,7.6,38697217,Nightcrawler
4172,702,1800000,14.884756,7.6,8000000,A Streetcar Named Desire
1828,117,25000000,38.272889,7.6,76270454,The Untouchables
2752,264660,15000000,95.130041,7.6,36869414,Ex Machina
4603,52032,0,1.1702569999999999,7.6,246574,My Dog Tulip
2483,9800,26000000,44.301745000000004,7.6,206678440,Philadelphia
1006,89,48000000,80.972475,7.6,474171806,Indiana Jones and the Last Crusade
830,393,30000000,50.622607,7.6,152159461,Kill Bill: Vol. 2
4615,2786,300000,7.791898,7.6,0,Pierrot le Fou
4013,24748,2500000,6.82919,7.5,10000000,Hud
2809,578,7000000,50.152327,7.5,470654000,Jaws
46,127585,250000000,118.07869099999999,7.5,747862775,X-Men: Days of Future Past
4258,347755,0,0.446858,7.5,0,Wind Walkers
1333,334,37000000,30.993736,7.5,48451803,Magnolia
2072,1646,21000000,17.746980999999998,7.5,41170784,Freedom Writers
3737,10331,114000,25.666029,7.5,30000000,Night of the Living Dead
3145,86837,8900000,17.151293,7.5,19839492,Amour
3354,24977,0,1.8303060000000002,7.5,21268532,Michael Jordan to the Max
4724,985,10000,20.399577999999998,7.5,7000000,Eraserhead
744,137106,60000000,59.547928000000006,7.5,469160692,The Lego Movie
2108,162,20000000,47.51363,7.5,53000000,Edward Scissorhands
1352,782,36000000,70.398356,7.5,12532777,Gattaca
4582,1435,218,1.063439,7.5,1162014,Tarnation
3877,805,3200000,26.180367,7.5,33395426,Rosemary's Baby
3330,7735,7500000,25.281197,7.5,19000000,The Wave
2908,13889,0,2.930853,7.5,0,Madadayo
231,585,115000000,106.815545,7.5,562816256,"Monsters, Inc."
4379,244267,0,37.555398,7.5,336472,I Origins
4381,123678,1000000,8.887411,7.5,444575,The Act of Killing
4268,100,1350000,16.032594,7.5,3897569,"Lock, Stock and Two Smoking Barrels"
1290,256040,40000000,16.254032000000002,7.5,100000000,Baahubali: The Beginning
4797,67238,0,0.022173,7.5,0,Cavite
1471,12429,41677699,39.58676,7.5,187479518,Ponyo
3445,792,6000000,49.802914,7.5,138530565,Platoon
3597,747,4000000,49.12486,7.5,30039392,Shaun of the Dead
2925,10229,11000000,33.283553999999995,7.5,41227069,A Walk to Remember
1257,10315,40000000,41.258956,7.5,46471023,Fantastic Mr. Fox
25,597,200000000,100.025899,7.5,1845034188,Titanic
1181,820,40000000,26.82041,7.5,205405498,JFK
3023,11545,9000000,18.289303,7.5,17096053,Rushmore
3753,85350,4000000,43.40352,7.5,44349000,Boyhood
3438,5708,0,11.357474,7.5,8159508,Control
3238,773,8000000,14.793176999999998,7.5,100523181,Little Miss Sunshine
2808,9552,8000000,47.584643,7.5,441306145,The Exorcist
946,2649,50000000,62.925175,7.5,109423648,The Game
118,2062,150000000,65.677399,7.5,623722818,Ratatouille
3589,284293,5000000,35.307577,7.5,43884652,Still Alice
2717,142,14000000,44.135568,7.5,178043761,Brokeback Mountain
2792,9504,12500000,13.939054,7.5,10725228,Glengarry Glen Ross
199,22,140000000,271.972889,7.5,655011224,Pirates of the Caribbean: The Curse of the Black Pearl
1753,525,27000000,44.714264,7.5,115229890,The Blues Brothers
2572,4995,15000000,19.85579,7.5,43101594,Boogie Nights
3811,874,3900000,9.541688,7.5,28350000,A Man for All Seasons
3535,5528,0,20.982454999999998,7.5,0,The Chorus
1702,562,28000000,66.169628,7.5,140767956,Die Hard
4354,361475,0,0.42583000000000004,7.5,0,Departure
4167,14048,0,14.331992000000001,7.5,2957978,Man on Wire
3562,211954,5500000,9.59729,7.5,99067206,Instructions Not Included
4209,592,1600000,20.810292,7.5,4420000,The Conversation
2397,205,17500000,28.605420000000002,7.5,38000000,Hotel Rwanda
2605,68,15000000,41.089863,7.5,0,Brazil
2571,1245,11500000,15.355589000000002,7.5,23237911,The Remains of the Day
4641,51942,250,0.293649,7.5,203,I Married a Strange Person!
119,272,150000000,115.040024,7.5,374218673,Batman Begins
2790,319,12500000,35.268557,7.5,12281551,True Romance
4333,1366,1000000,72.19808,7.5,117235147,Rocky
3249,385736,0,3.4679230000000003,7.5,0,Kicks
4522,16653,0,0.9205909999999999,7.5,0,The Singles Ward
2946,1587,11000000,33.282794,7.5,30000000,What's Eating Gilbert Grape
865,11321,55000000,41.472404,7.5,168167691,Seven Pounds
4709,13187,0,8.701183,7.5,0,A Charlie Brown Christmas
384,8358,90000000,57.739713,7.5,429632142,Cast Away
114,674,150000000,101.250416,7.5,895921036,Harry Potter and the Goblet of Fire
197,671,125000000,109.984351,7.5,976475550,Harry Potter and the Philosopher's Stone
92,10191,165000000,67.263269,7.5,494878759,How to Train Your Dragon
4356,18570,0,15.017161999999999,7.4,0,"Food, Inc."
2643,11190,0,7.744166000000001,7.4,0,The Return
3918,132344,3000000,23.299907,7.4,11176469,Before Midnight
790,190859,58800000,87.53437,7.4,542307423,American Sniper
4255,426469,0,0.71087,7.4,0,Growing Up Smith
3890,10162,0,5.735912,7.4,0,Waking Ned
765,786,60000000,21.547446,7.4,47383689,Almost Famous
3831,18900,3500000,7.821438000000001,7.4,13007551,In Cold Blood
4283,28580,1250000,6.903314,7.4,11000000,The Lost Weekend
788,293660,58000000,514.5699559999999,7.4,783112979,Deadpool
3832,27029,3500000,3.281509,7.4,12800000,The Nun's Story
1710,9428,21000000,24.13081,7.4,71441250,The Royal Tenenbaums
2057,38985,22000000,9.088208999999999,7.4,12000000,Sorcerer
1459,26843,35000000,2.864979,7.4,0,Lion of the Desert
1662,9665,18000000,16.102271,7.4,26828365,Glory
2471,4638,12000000,38.623178,7.4,80573774,Hot Fuzz
3871,850,0,15.128316,7.4,19294144,A Christmas Story
2456,24226,16000000,7.980632000000001,7.4,53977250,The Verdict
3823,3116,3600000,21.119208999999998,7.4,44785053,Midnight Cowboy
3161,14811,9000000,7.623978999999999,7.4,83304330,Fiddler on the Roof
456,228150,68000000,139.575085,7.4,211817906,Fury
2914,907,11000000,12.854853,7.4,111858363,Doctor Zhivago
4363,159014,1000000,5.247955999999999,7.4,0,20 Feet from Stardom
3878,11697,3200000,11.735287,7.4,8000000,The Man Who Shot Liberty Valance
874,9444,53000000,45.565917999999996,7.4,139804348,Anastasia
875,824,52500000,57.374341,7.4,179213434,Moulin Rouge!
459,9023,80000000,41.670544,7.4,122563539,Spirit: Stallion of the Cimarron
4226,18079,1500000,8.589355,7.4,0,Nine Queens
2659,137,14600000,52.744331,7.4,70906973,Groundhog Day
2467,16161,16000000,7.854989,7.4,29381649,Baby Boy
3177,10705,9000000,4.641006,7.4,0,Henry V
1294,16320,39000000,45.388937,7.4,38869464,Serenity
2930,12837,11000000,7.645979,7.4,38105395,The Secret Life of Bees
1152,165,40000000,43.345252,7.4,332000000,Back to the Future Part II
1158,193756,40000000,37.084384,7.4,149295601,Lone Survivor
158,13475,150000000,73.61680799999999,7.4,385680446,Star Trek
4163,49020,0,8.518866000000001,7.4,864659,Submarine
3576,71,5000000,20.428237,7.4,110000000,Billy Elliot
3380,71859,7000000,21.276864,7.4,6038942,We Need to Talk About Kevin
183,101299,130000000,76.310119,7.4,847423452,The Hunger Games: Catching Fire
3374,4251,7000000,3.721858,7.4,29385320,Veer-Zaara
3531,11901,5500000,19.127239000000003,7.4,15700000,High Plains Drifter
1394,9366,35000000,40.370442,7.4,41954997,Donnie Brasco
4592,3059,385907,3.232447,7.4,8394751,Intolerance
1836,11969,25000000,30.537845,7.4,56505065,Tombstone
1695,812,28000000,92.98200899999999,7.4,504050219,Aladdin
4004,33106,0,0.406645,7.4,0,Silver Medalist
1590,4347,30000000,33.369305,7.4,129266061,Atonement
1852,746,23000000,21.189028,7.4,43984230,The Last Emperor
3406,9571,6900000,26.181753,7.4,7993039,Dazed and Confused
1545,10637,30000000,25.996219,7.4,136706683,Remember the Titans
47,54138,190000000,78.29101800000001,7.4,467365246,Star Trek Into Darkness
4713,1779,160000,3.284903,7.4,6706368,Roger & Me
2297,203833,0,57.84156,7.4,76586316,The Book Thief
68,1726,140000000,120.725053,7.4,585174222,Iron Man
4731,80215,0,7.676677000000001,7.4,0,Indie Game: The Movie
1599,293863,25000000,82.05205600000001,7.4,65663276,The Age of Adaline
2806,11658,0,9.572705000000001,7.4,15,Tae Guk Gi: The Brotherhood of War
3484,13403,0,4.25422,7.4,0,Hedwig and the Angry Inch
2558,64690,15000000,49.294864000000004,7.4,78054825,Drive
3236,15121,8200000,37.960289,7.4,286214286,The Sound of Music
3468,1523,6000000,26.286953999999998,7.4,48027970,The Last King of Scotland
3420,650,6500000,17.705671,7.4,57504069,Boyz n the Hood
2564,14736,20000000,2.027393,7.4,27728118,Love & Basketball
4696,79120,8000,1.0412540000000001,7.4,469947,Weekend
2334,194662,18000000,89.811154,7.4,103215094,Birdman
4041,11798,2380000,8.395624,7.4,8176544,This Is England
113,675,150000000,78.14439499999999,7.4,938212738,Harry Potter and the Order of the Phoenix
3045,1542,10000000,18.366362,7.4,12827813,Office Space
3449,16619,6000000,12.541983,7.4,0,Ordinary People
4773,2292,27000,19.748658,7.4,3151130,Clerks
2849,129670,12000000,29.223881,7.4,17654912,Nebraska
4438,60421,0,2.34239,7.4,0,Circumstance
4792,36095,20000,0.212443,7.4,99000,Cure
2409,948,300000,30.301307,7.4,70000000,Halloween
3711,4550,0,17.074842999999998,7.4,23803308,Sympathy for Lady Vengeance
2111,1051,1800000,15.978136,7.4,41158757,The French Connection
2419,228203,0,14.023082,7.4,45710059,"McFarland, USA"
3440,338,4800000,11.086001,7.4,79384880,"Good bye, Lenin!"
3937,10683,3000000,10.757539,7.4,2807390,Happiness
2700,2013,14000000,13.65494,7.4,19777647,The Diving Bell and the Butterfly
2616,8321,15000000,25.329493,7.4,34533783,In Bruges
3986,630,2777000,67.417542,7.4,33754967,The Wizard of Oz
4431,292539,913000,0.7956979999999999,7.4,0,Food Chains
339,9806,92000000,77.817571,7.4,631442092,The Incredibles
2096,138843,13000000,49.975409,7.4,318000141,The Conjuring
510,9693,76000000,35.387874,7.4,69959751,Children of Men
8,767,250000000,98.885637,7.4,933959197,Harry Potter and the Half-Blood Prince
6,38757,260000000,48.681969,7.4,591794936,Tangled
3928,252,3000000,23.981601,7.4,4000000,Willy Wonka & the Chocolate Factory
2246,4960,21000000,12.761175999999999,7.4,0,"Synecdoche, New York"
2115,273895,20000000,29.023184000000004,7.4,66787908,Selma
1758,186,27000000,36.921445,7.4,56308881,Lucky Number Slevin
2402,1933,0,25.881355,7.4,0,The Others
3675,12498,1000000,14.805264000000001,7.4,24475416,Sling Blade
2716,43949,14000000,24.210698,7.4,1755212,Flipped
281,4982,100000000,42.361215,7.4,266465037,American Gangster
2404,11113,17000000,20.786616,7.4,72070731,My Fair Lady
1581,4133,53000000,28.350528999999998,7.4,83282296,Blow
276,672,100000000,132.397737,7.4,876688482,Harry Potter and the Chamber of Secrets
2024,783,22000000,35.227212,7.4,77737889,Gandhi
16,24428,220000000,144.448633,7.4,1519557910,The Avengers
3448,433,6000000,59.961523,7.4,102272727,Mary Poppins
4518,2056,500000,11.578545,7.4,8679814,The Station Agent
4495,3080,609000,3.8984980000000005,7.4,3202000,Top Hat
1579,59436,30000000,43.753585,7.4,151119219,Midnight in Paris
3662,244403,5000000,10.619574,7.4,0,Rudderless
2843,205220,12000000,29.019503999999998,7.4,100129872,Philomena
3447,642,6000000,24.499996,7.4,102308889,Butch Cassidy and the Sundance Kid
620,9008,90000000,26.153669,7.3,60289912,The Insider
